cycle_id,solar_intensity_w_m2,soil_moisture_percent,pump_runtime_min,water_use_liters,crop_condition
IR0001,956.6,69.6,114,61.5,Stress
IR0002,959.8,75.9,42,28.4,Good
IR0003,113.6,56.3,23,15.0,Moderate
IR0004,481.0,58.3,106,61.1,Stress
IR0005,117.3,84.6,28,19.1,Stress
IR0006,700.3,64.4,75,49.3,Moderate
IR0007,869.7,60.7,62,22.5,Stress
IR0008,448.8,88.6,41,16.3,Good
IR0009,289.1,15.6,29,19.6,Good
IR0010,553.9,25.3,75,42.8,Moderate
IR0011,252.2,59.9,49,18.3,Stress
IR0012,201.7,79.2,60,40.7,Good
IR0013,653.9,70.9,22,15.1,Good
IR0014,781.0,46.5,112,66.9,Moderate
IR0015,178.3,35.5,16,8.6,Moderate
IR0016,180.3,89.3,47,17.5,Good
IR0017,748.8,20.1,46,25.3,Moderate
IR0018,362.1,66.9,65,39.9,Good
IR0019,656.2,71.9,108,43.4,Stress
IR0020,213.8,54.4,60,21.3,Moderate
IR0021,435.7,46.0,88,36.2,Stress
IR0022,477.9,25.7,53,23.2,Stress
IR0023,684.3,13.5,26,9.3,Moderate
IR0024,778.7,59.9,54,37.4,Moderate
IR0025,531.9,74.9,78,29.2,Good
IR0026,793.5,50.8,43,29.0,Moderate
IR0027,753.2,46.7,13,5.7,Stress
IR0028,478.1,74.7,116,69.2,Stress
IR0029,517.5,77.7,67,28.4,Stress
IR0030,174.3,73.5,14,6.7,Moderate
IR0031,227.8,62.9,84,49.8,Moderate
IR0032,645.8,10.6,7,2.7,Stress
IR0033,936.4,41.2,118,53.0,Good
IR0034,717.1,26.9,49,32.0,Moderate
IR0035,911.1,36.1,87,56.1,Good
IR0036,545.9,15.3,72,46.5,Good
IR0037,555.8,72.3,5,2.2,Good
IR0038,950.9,62.7,85,54.2,Good
IR0039,344.1,25.1,114,62.9,Moderate
IR0040,211.6,66.0,65,41.4,Stress
IR0041,245.2,76.3,113,76.1,Moderate
IR0042,625.2,35.5,24,15.1,Good
IR0043,695.3,14.4,47,27.2,Moderate
IR0044,892.2,87.2,66,35.3,Moderate
IR0045,906.4,20.5,70,24.8,Moderate
IR0046,147.7,36.1,83,56.4,Moderate
IR0047,228.3,11.3,62,36.5,Moderate
IR0048,672.9,44.6,18,7.7,Good
IR0049,644.9,58.3,22,8.9,Stress
IR0050,761.6,71.4,60,28.8,Moderate
IR0051,771.5,10.7,103,52.4,Moderate
IR0052,770.2,38.1,52,34.2,Stress
IR0053,853.4,37.9,57,30.6,Good
IR0054,505.9,26.7,51,27.3,Good
IR0055,162.7,86.6,22,12.4,Good
IR0056,766.5,13.0,62,28.1,Stress
IR0057,828.4,35.5,21,14.4,Moderate
IR0058,295.9,44.6,79,39.8,Moderate
IR0059,196.3,45.1,19,10.3,Stress
IR0060,597.8,41.0,89,41.2,Good
IR0061,942.1,63.4,70,42.4,Stress
IR0062,341.9,74.2,7,2.8,Moderate
IR0063,771.6,42.5,113,45.3,Stress
IR0064,948.7,73.6,65,44.0,Moderate
IR0065,547.6,54.6,55,35.4,Good
IR0066,581.5,77.0,100,65.5,Moderate
IR0067,610.4,56.3,30,15.8,Stress
IR0068,835.3,62.2,53,33.9,Moderate
IR0069,972.3,20.5,21,11.2,Stress
IR0070,295.2,22.6,120,48.6,Moderate
IR0071,955.2,76.5,33,14.6,Stress
IR0072,269.0,69.4,19,9.5,Stress
IR0073,712.1,61.4,36,17.5,Stress
IR0074,361.5,67.4,60,29.3,Good
IR0075,893.3,72.1,70,30.3,Stress
IR0076,518.4,72.5,35,23.5,Moderate
IR0077,253.9,89.0,41,27.6,Stress
IR0078,204.4,59.6,37,16.6,Stress
IR0079,545.8,47.8,41,22.8,Stress
IR0080,829.3,37.4,65,36.6,Moderate
IR0081,363.5,11.0,38,15.4,Good
IR0082,452.3,80.9,48,17.5,Stress
IR0083,849.5,82.6,92,58.6,Moderate
IR0084,371.6,19.5,96,60.3,Stress
IR0085,252.4,69.7,56,28.8,Stress
IR0086,203.3,64.2,113,28.9,Good
IR0087,525.0,74.1,116,42.4,Good
IR0088,149.7,15.5,6,2.8,Good
IR0089,805.7,35.3,67,45.1,Stress
IR0090,315.4,21.3,96,51.3,Good
IR0091,773.1,88.9,22,11.5,Moderate
IR0092,587.0,44.5,26,15.3,Stress
IR0093,238.9,42.2,105,44.4,Good
IR0094,914.3,55.8,29,16.3,Moderate
IR0095,551.6,67.3,9,4.3,Good
IR0096,931.4,50.6,62,34.1,Good
IR0097,319.5,50.1,23,9.8,Moderate
IR0098,339.0,79.4,28,13.9,Stress
IR0099,634.0,84.3,89,41.5,Stress
IR0100,333.0,26.0,72,35.9,Stress
IR0101,487.2,60.2,14,8.9,Moderate
IR0102,557.3,73.9,94,49.1,Good
IR0103,647.6,35.5,8,4.3,Stress
IR0104,665.0,80.0,97,43.7,Stress
IR0105,274.7,18.2,55,24.2,Stress
IR0106,109.7,56.3,11,6.7,Moderate
IR0107,464.5,88.9,36,28.9,Moderate
IR0108,139.4,19.2,102,47.8,Good
IR0109,305.4,51.9,6,3.8,Moderate
IR0110,881.2,14.5,68,41.3,Moderate
IR0111,347.0,36.9,15,10.4,Stress
IR0112,605.9,12.2,100,47.0,Moderate
IR0113,936.8,67.9,70,24.6,Stress
IR0114,482.8,24.9,62,36.2,Moderate
IR0115,174.5,69.5,104,38.6,Good
IR0116,241.1,69.4,64,23.8,Moderate
IR0117,975.1,29.3,30,17.0,Good
IR0118,837.1,67.7,72,29.8,Good
IR0119,308.7,23.0,115,57.2,Stress
IR0120,763.4,83.6,56,36.9,Good
