cycle_id,solar_intensity_w_m2,soil_moisture_percent,pump_runtime_min,water_use_liters,crop_condition,water_use_efficiency,irrigation_demand
IR0001,956.6,69.6,114,61.5,Stress,0.5394736842105263,Low
IR0002,959.8,75.9,42,28.4,Good,0.6761904761904761,Low
IR0003,113.6,56.3,23,15.0,Moderate,0.6521739130434783,Moderate
IR0004,481.0,58.3,106,61.1,Stress,0.5764150943396227,Moderate
IR0005,117.3,84.6,28,19.1,Stress,0.6821428571428572,Low
IR0006,700.3,64.4,75,49.3,Moderate,0.6573333333333333,Low
IR0007,869.7,60.7,62,22.5,Stress,0.3629032258064516,Low
IR0008,448.8,88.6,41,16.3,Good,0.3975609756097561,Low
IR0009,289.1,15.6,29,19.6,Good,0.6758620689655173,Moderate
IR0010,553.9,25.3,75,42.8,Moderate,0.5706666666666667,High
IR0011,252.2,59.9,49,18.3,Stress,0.3734693877551021,Moderate
IR0012,201.7,79.2,60,40.7,Good,0.6783333333333333,Low
IR0013,653.9,70.9,22,15.1,Good,0.6863636363636364,Low
IR0014,781.0,46.5,112,66.9,Moderate,0.5973214285714287,Moderate
IR0015,178.3,35.5,16,8.6,Moderate,0.5375,Moderate
IR0016,180.3,89.3,47,17.5,Good,0.3723404255319149,Low
IR0017,748.8,20.1,46,25.3,Moderate,0.55,High
IR0018,362.1,66.9,65,39.9,Good,0.6138461538461538,Low
IR0019,656.2,71.9,108,43.4,Stress,0.40185185185185185,Low
IR0020,213.8,54.4,60,21.3,Moderate,0.35500000000000004,Moderate
IR0021,435.7,46.0,88,36.2,Stress,0.4113636363636364,Moderate
IR0022,477.9,25.7,53,23.2,Stress,0.4377358490566038,High
IR0023,684.3,13.5,26,9.3,Moderate,0.3576923076923077,High
IR0024,778.7,59.9,54,37.4,Moderate,0.6925925925925925,Moderate
IR0025,531.9,74.9,78,29.2,Good,0.37435897435897436,Low
IR0026,793.5,50.8,43,29.0,Moderate,0.6744186046511628,Moderate
IR0027,753.2,46.7,13,5.7,Stress,0.43846153846153846,Moderate
IR0028,478.1,74.7,116,69.2,Stress,0.596551724137931,Low
IR0029,517.5,77.7,67,28.4,Stress,0.42388059701492536,Low
IR0030,174.3,73.5,14,6.7,Moderate,0.4785714285714286,Low
IR0031,227.8,62.9,84,49.8,Moderate,0.5928571428571429,Low
IR0032,645.8,10.6,7,2.7,Stress,0.38571428571428573,High
IR0033,936.4,41.2,118,53.0,Good,0.4491525423728814,Moderate
IR0034,717.1,26.9,49,32.0,Moderate,0.6530612244897959,High
IR0035,911.1,36.1,87,56.1,Good,0.6448275862068966,Moderate
IR0036,545.9,15.3,72,46.5,Good,0.6458333333333334,High
IR0037,555.8,72.3,5,2.2,Good,0.44000000000000006,Low
IR0038,950.9,62.7,85,54.2,Good,0.6376470588235295,Low
IR0039,344.1,25.1,114,62.9,Moderate,0.5517543859649122,Moderate
IR0040,211.6,66.0,65,41.4,Stress,0.6369230769230769,Low
IR0041,245.2,76.3,113,76.1,Moderate,0.6734513274336282,Low
IR0042,625.2,35.5,24,15.1,Good,0.6291666666666667,Moderate
IR0043,695.3,14.4,47,27.2,Moderate,0.5787234042553191,High
IR0044,892.2,87.2,66,35.3,Moderate,0.5348484848484848,Low
IR0045,906.4,20.5,70,24.8,Moderate,0.3542857142857143,High
IR0046,147.7,36.1,83,56.4,Moderate,0.6795180722891566,Moderate
IR0047,228.3,11.3,62,36.5,Moderate,0.5887096774193549,Moderate
IR0048,672.9,44.6,18,7.7,Good,0.4277777777777778,Moderate
IR0049,644.9,58.3,22,8.9,Stress,0.40454545454545454,Moderate
IR0050,761.6,71.4,60,28.8,Moderate,0.48000000000000004,Low
IR0051,771.5,10.7,103,52.4,Moderate,0.5087378640776699,High
IR0052,770.2,38.1,52,34.2,Stress,0.6576923076923078,Moderate
IR0053,853.4,37.9,57,30.6,Good,0.5368421052631579,Moderate
IR0054,505.9,26.7,51,27.3,Good,0.5352941176470588,High
IR0055,162.7,86.6,22,12.4,Good,0.5636363636363636,Low
IR0056,766.5,13.0,62,28.1,Stress,0.4532258064516129,High
IR0057,828.4,35.5,21,14.4,Moderate,0.6857142857142857,Moderate
IR0058,295.9,44.6,79,39.8,Moderate,0.5037974683544303,Moderate
IR0059,196.3,45.1,19,10.3,Stress,0.5421052631578948,Moderate
IR0060,597.8,41.0,89,41.2,Good,0.4629213483146068,Moderate
IR0061,942.1,63.4,70,42.4,Stress,0.6057142857142856,Low
IR0062,341.9,74.2,7,2.8,Moderate,0.39999999999999997,Low
IR0063,771.6,42.5,113,45.3,Stress,0.4008849557522124,Moderate
IR0064,948.7,73.6,65,44.0,Moderate,0.676923076923077,Low
IR0065,547.6,54.6,55,35.4,Good,0.6436363636363636,Moderate
IR0066,581.5,77.0,100,65.5,Moderate,0.655,Low
IR0067,610.4,56.3,30,15.8,Stress,0.5266666666666667,Moderate
IR0068,835.3,62.2,53,33.9,Moderate,0.6396226415094339,Low
IR0069,972.3,20.5,21,11.2,Stress,0.5333333333333333,High
IR0070,295.2,22.6,120,48.6,Moderate,0.405,Moderate
IR0071,955.2,76.5,33,14.6,Stress,0.4424242424242424,Low
IR0072,269.0,69.4,19,9.5,Stress,0.5,Low
IR0073,712.1,61.4,36,17.5,Stress,0.4861111111111111,Low
IR0074,361.5,67.4,60,29.3,Good,0.48833333333333334,Low
IR0075,893.3,72.1,70,30.3,Stress,0.4328571428571429,Low
IR0076,518.4,72.5,35,23.5,Moderate,0.6714285714285714,Low
IR0077,253.9,89.0,41,27.6,Stress,0.6731707317073171,Low
IR0078,204.4,59.6,37,16.6,Stress,0.4486486486486487,Moderate
IR0079,545.8,47.8,41,22.8,Stress,0.5560975609756098,Moderate
IR0080,829.3,37.4,65,36.6,Moderate,0.5630769230769231,Moderate
IR0081,363.5,11.0,38,15.4,Good,0.4052631578947368,High
IR0082,452.3,80.9,48,17.5,Stress,0.3645833333333333,Low
IR0083,849.5,82.6,92,58.6,Moderate,0.6369565217391304,Low
IR0084,371.6,19.5,96,60.3,Stress,0.6281249999999999,High
IR0085,252.4,69.7,56,28.8,Stress,0.5142857142857143,Low
IR0086,203.3,64.2,113,28.9,Good,0.2557522123893805,Low
IR0087,525.0,74.1,116,42.4,Good,0.36551724137931035,Low
IR0088,149.7,15.5,6,2.8,Good,0.4666666666666666,Moderate
IR0089,805.7,35.3,67,45.1,Stress,0.673134328358209,Moderate
IR0090,315.4,21.3,96,51.3,Good,0.5343749999999999,Moderate
IR0091,773.1,88.9,22,11.5,Moderate,0.5227272727272727,Low
IR0092,587.0,44.5,26,15.3,Stress,0.5884615384615385,Moderate
IR0093,238.9,42.2,105,44.4,Good,0.4228571428571428,Moderate
IR0094,914.3,55.8,29,16.3,Moderate,0.5620689655172414,Moderate
IR0095,551.6,67.3,9,4.3,Good,0.47777777777777775,Low
IR0096,931.4,50.6,62,34.1,Good,0.55,Moderate
IR0097,319.5,50.1,23,9.8,Moderate,0.42608695652173917,Moderate
IR0098,339.0,79.4,28,13.9,Stress,0.49642857142857144,Low
IR0099,634.0,84.3,89,41.5,Stress,0.46629213483146065,Low
IR0100,333.0,26.0,72,35.9,Stress,0.4986111111111111,Moderate
IR0101,487.2,60.2,14,8.9,Moderate,0.6357142857142858,Low
IR0102,557.3,73.9,94,49.1,Good,0.522340425531915,Low
IR0103,647.6,35.5,8,4.3,Stress,0.5375,Moderate
IR0104,665.0,80.0,97,43.7,Stress,0.4505154639175258,Low
IR0105,274.7,18.2,55,24.2,Stress,0.44,Moderate
IR0106,109.7,56.3,11,6.7,Moderate,0.6090909090909091,Moderate
IR0107,464.5,88.9,36,28.9,Moderate,0.8027777777777777,Low
IR0108,139.4,19.2,102,47.8,Good,0.4686274509803921,Moderate
IR0109,305.4,51.9,6,3.8,Moderate,0.6333333333333333,Moderate
IR0110,881.2,14.5,68,41.3,Moderate,0.6073529411764705,High
IR0111,347.0,36.9,15,10.4,Stress,0.6933333333333334,Moderate
IR0112,605.9,12.2,100,47.0,Moderate,0.47,High
IR0113,936.8,67.9,70,24.6,Stress,0.3514285714285714,Low
IR0114,482.8,24.9,62,36.2,Moderate,0.5838709677419355,High
IR0115,174.5,69.5,104,38.6,Good,0.37115384615384617,Low
IR0116,241.1,69.4,64,23.8,Moderate,0.371875,Low
IR0117,975.1,29.3,30,17.0,Good,0.5666666666666667,High
IR0118,837.1,67.7,72,29.8,Good,0.4138888888888889,Low
IR0119,308.7,23.0,115,57.2,Stress,0.49739130434782614,Moderate
IR0120,763.4,83.6,56,36.9,Good,0.6589285714285714,Low
